,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
20764,60571,2,DirectlyApprove,Leah Mcdaniel,http://review.couchbase.org/#/c/60571/2,2016-02-26,18:53:26.424000000,2016-02-26,18:56:45.780000000
20766,60623,2,DirectlyApprove,Asher Vang,http://review.couchbase.org/#/c/60623/2,2016-02-29,10:28:03.827000000,2016-02-29,19:31:40.809000000
20774,60635,8,ApproveAfterChange,Leah Mcdaniel,http://review.couchbase.org/#/c/60635/8,2016-02-29,17:21:24.397000000,2016-03-18,21:09:20.000000000
20782,60636,8,ApproveAfterChange,Leah Mcdaniel,http://review.couchbase.org/#/c/60636/8,2016-02-29,17:21:24.397000000,2016-03-18,21:09:27.662000000
20783,60644,1,Rejected,Ella Beltran,http://review.couchbase.org/#/c/60644/1,2016-02-29,21:04:49.405000000,2016-02-29,21:14:57.289000000
20785,60747,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60747/2,2016-03-02,00:21:28.598000000,2016-03-02,00:23:20.948000000
20787,60749,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60749/2,2016-03-02,00:42:33.972000000,2016-03-02,23:25:10.514000000
20789,60753,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60753/2,2016-03-02,01:53:10.864000000,2016-03-02,21:39:07.737000000
20791,60754,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60754/2,2016-03-02,01:53:10.865000000,2016-03-02,17:02:52.537000000
20793,60755,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60755/2,2016-03-02,01:53:10.865000000,2016-03-02,17:08:55.338000000
20795,60756,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60756/2,2016-03-02,01:53:10.865000000,2016-03-02,21:31:46.040000000
20797,60757,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60757/2,2016-03-02,01:53:10.865000000,2016-03-02,21:32:16.776000000
20799,60758,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60758/2,2016-03-02,01:53:10.865000000,2016-03-02,21:38:23.608000000
20801,60759,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60759/2,2016-03-02,01:53:10.865000000,2016-03-02,21:39:51.295000000
20803,60760,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60760/2,2016-03-02,01:53:10.866000000,2016-03-02,21:42:56.760000000
20805,60761,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60761/2,2016-03-02,01:53:10.866000000,2016-03-02,21:46:44.344000000
20807,60762,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60762/2,2016-03-02,01:53:10.866000000,2016-03-02,21:52:11.601000000
20809,60817,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60817/2,2016-03-02,23:28:36.675000000,2016-03-02,23:34:40.157000000
20811,60829,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60829/2,2016-03-03,04:47:31.194000000,2016-03-03,21:35:15.273000000
20813,60872,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60872/2,2016-03-03,18:48:52.644000000,2016-03-03,21:35:28.230000000
20815,60906,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60906/2,2016-03-04,02:10:33.262000000,2016-03-04,09:11:01.954000000
20817,60907,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60907/2,2016-03-04,02:10:33.262000000,2016-03-04,09:12:34.113000000
20819,60908,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/60908/2,2016-03-04,02:42:09.947000000,2016-03-04,09:14:28.740000000
20821,60912,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/60912/2,2016-03-04,07:28:02.079000000,2016-03-05,00:29:24.441000000
20825,60913,4,ApproveAfterChange,Meghan Vazquez,http://review.couchbase.org/#/c/60913/4,2016-03-04,07:28:02.080000000,2016-03-05,00:30:02.998000000
