,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
8686,40019,4,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40019/4,2014-07-29,20:12:55.584000000,2014-07-29,21:01:15.976000000
8689,40022,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40022/3,2014-07-29,20:43:53.666000000,2014-07-29,20:51:10.488000000
8692,40023,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40023/3,2014-07-29,20:43:53.666000000,2014-07-29,20:52:01.589000000
8695,40029,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40029/3,2014-07-29,21:41:25.559000000,2014-07-29,21:45:02.452000000
8701,40037,6,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40037/6,2014-07-30,01:16:20.747000000,2014-07-30,23:15:08.390000000
8706,40038,5,ApproveAfterChange,Adam Hardin,http://review.Piper Jefferson.org/#/c/40038/5,2014-07-30,01:24:44.233000000,2014-07-31,22:34:12.911000000
8711,40039,5,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40039/5,2014-07-30,02:15:27.946000000,2014-07-30,23:14:29.477000000
8715,40042,4,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40042/4,2014-07-30,03:13:50.232000000,2014-07-30,17:34:37.820000000
8718,40043,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40043/3,2014-07-30,03:13:50.233000000,2014-07-30,18:18:02.056000000
8720,40044,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/40044/2,2014-07-30,05:48:30.424000000,2014-07-30,06:26:10.642000000
8723,40059,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40059/3,2014-07-30,18:17:08.300000000,2014-07-30,18:31:33.857000000
8725,40060,2,DirectlyApprove,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40060/2,2014-07-30,18:17:49.121000000,2014-07-30,18:23:56.550000000
8730,40061,5,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40061/5,2014-07-30,18:31:50.716000000,2014-07-30,21:28:08.234000000
8738,40062,8,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40062/8,2014-07-30,18:33:43.361000000,2014-07-30,21:18:57.692000000
8741,40063,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40063/3,2014-07-30,19:12:19.856000000,2014-07-30,20:15:20.647000000
8742,40067,1,Rejected,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40067/1,2014-07-30,19:42:24.065000000,2014-07-30,19:43:20.954000000
8745,40069,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40069/3,2014-07-30,20:52:42.654000000,2014-07-30,20:59:27.654000000
8750,40078,5,ApproveAfterChange,Adam Hardin,http://review.Piper Jefferson.org/#/c/40078/5,2014-07-30,23:48:31.004000000,2014-08-01,17:21:04.006000000
8756,40080,6,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40080/6,2014-07-31,00:19:30.946000000,2014-07-31,21:06:51.093000000
8759,40081,3,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40081/3,2014-07-31,00:48:02.311000000,2014-07-31,02:30:35.178000000
8769,40084,10,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40084/10,2014-07-31,00:54:26.103000000,2014-07-31,21:17:03.284000000
8772,40085,3,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40085/3,2014-07-31,02:18:07.078000000,2014-07-31,02:37:44.864000000
8778,40126,6,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40126/6,2014-07-31,19:04:49.981000000,2014-07-31,22:17:12.566000000
8781,40145,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40145/3,2014-07-31,21:27:27.673000000,2014-07-31,21:45:09.274000000
8783,40150,2,DirectlyApprove,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40150/2,2014-07-31,22:54:36.023000000,2014-07-31,23:02:02.098000000
8785,40151,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40151/2,2014-07-31,23:11:07.836000000,2014-07-31,23:17:07.206000000
8788,40154,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40154/3,2014-07-31,23:34:22.907000000,2014-07-31,23:41:37.976000000
8791,40155,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40155/3,2014-08-01,00:58:49.954000000,2014-08-01,01:31:24.499000000
8793,40156,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40156/2,2014-08-01,01:51:15.995000000,2014-08-01,02:00:42.553000000
8795,40158,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40158/2,2014-08-01,03:05:18.643000000,2014-08-01,03:12:30.364000000
8797,40192,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40192/2,2014-08-01,18:46:47.036000000,2014-08-01,19:01:29.043000000
8807,40195,10,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40195/10,2014-08-01,21:30:53.181000000,2014-08-27,02:32:01.965000000
8809,40200,2,DirectlyApprove,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40200/2,2014-08-01,23:08:07.469000000,2014-08-01,23:28:36.229000000
8812,40201,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40201/3,2014-08-01,23:45:00.497000000,2014-08-02,00:00:28.375000000
8814,40225,2,Rejected,Abby Duran,http://review.Piper Jefferson.org/#/c/40225/2,2014-08-02,00:04:39.357000000,2014-08-02,00:11:00.702000000
8818,40239,4,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40239/4,2014-08-03,03:14:49.813000000,2014-08-03,23:41:13.467000000
8819,40240,1,Rejected,Johan Savage,http://review.Piper Jefferson.org/#/c/40240/1,2014-08-03,04:02:47.679000000,2014-08-05,23:59:34.622000000
8822,40242,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40242/3,2014-08-03,21:49:28.846000000,2014-08-03,23:41:24.002000000
8832,40276,10,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40276/10,2014-08-04,21:23:21.077000000,2014-08-11,03:59:18.145000000
8833,40277,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40277/1,2014-08-04,21:23:21.077000000,2014-08-05,21:30:40.521000000
8835,40280,2,DirectlyApprove,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40280/2,2014-08-04,23:19:49.409000000,2014-08-04,23:35:12.494000000
8838,40297,3,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/40297/3,2014-08-05,12:22:14.612000000,2014-08-05,23:57:51.754000000
8842,40304,4,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40304/4,2014-08-05,18:11:13.444000000,2014-08-05,23:32:03.578000000
8846,40308,4,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40308/4,2014-08-05,20:49:47.642000000,2014-08-05,23:33:00.901000000
8849,40311,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40311/3,2014-08-05,21:57:14.875000000,2014-08-05,22:21:36.302000000
8851,40313,2,DirectlyApprove,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40313/2,2014-08-05,23:15:33.501000000,2014-08-05,23:29:14.712000000
8854,40317,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40317/3,2014-08-06,00:18:41.364000000,2014-08-06,00:21:54.042000000
8859,40340,5,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40340/5,2014-08-06,17:39:33.733000000,2014-08-12,23:07:06.743000000
8862,40341,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40341/3,2014-08-06,17:39:33.734000000,2014-08-11,04:50:18.618000000
8868,40346,6,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40346/6,2014-08-06,19:21:48.206000000,2014-08-14,19:23:06.618000000
8871,40349,3,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40349/3,2014-08-06,21:50:52.730000000,2014-08-07,22:17:25.789000000
8877,40355,6,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40355/6,2014-08-07,00:05:04.512000000,2014-08-07,18:00:46.208000000
8880,40390,3,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40390/3,2014-08-08,00:17:53.045000000,2014-08-08,19:36:18.034000000
8890,40392,10,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40392/10,2014-08-08,00:59:35.664000000,2014-08-13,01:38:10.806000000
8895,40513,5,ApproveAfterChange,Bobby Buck,http://review.Piper Jefferson.org/#/c/40513/5,2014-08-12,01:38:27.374000000,2014-08-12,02:19:07.412000000
8900,40520,5,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40520/5,2014-08-12,06:20:55.580000000,2014-08-12,21:46:35.799000000
8902,40555,2,Rejected,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40555/2,2014-08-13,02:13:07.505000000,2014-08-13,05:00:43.115000000
8904,40579,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40579/2,2014-08-13,18:20:14.986000000,2014-08-13,18:25:32.630000000
8906,40582,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40582/2,2014-08-13,19:38:00.724000000,2014-08-13,20:44:37.174000000
8909,40583,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40583/3,2014-08-13,19:52:09.876000000,2014-08-13,20:44:49.026000000
8910,40590,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40590/1,2014-08-13,21:43:35.668000000,2014-08-18,19:21:45.127000000
8913,40593,3,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40593/3,2014-08-13,23:50:46.656000000,2014-08-14,00:48:16.388000000
8916,40595,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40595/3,2014-08-14,00:26:33.547000000,2014-08-14,01:04:06.116000000
8918,40596,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/40596/2,2014-08-14,00:36:06.486000000,2014-08-14,00:54:53.790000000
8924,40600,6,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40600/6,2014-08-14,01:16:45.709000000,2014-08-14,16:56:51.772000000
8926,40601,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40601/2,2014-08-14,01:40:58.066000000,2014-08-14,02:05:30.341000000
8927,40629,1,Rejected,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40629/1,2014-08-14,19:14:26.305000000,2014-10-02,23:10:31.723000000
8929,40630,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40630/2,2014-08-14,19:44:58.640000000,2014-08-14,19:50:31.616000000
8931,40637,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40637/2,2014-08-14,21:17:08.715000000,2014-08-14,21:24:14.683000000
8935,40641,4,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40641/4,2014-08-14,23:05:14.869000000,2014-08-15,00:44:45.586000000
8939,40642,4,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40642/4,2014-08-14,23:18:17.028000000,2014-08-15,17:06:28.422000000
8943,40645,4,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/40645/4,2014-08-15,05:08:46.377000000,2014-08-15,17:24:26.110000000
8947,40650,4,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/40650/4,2014-08-15,15:43:01.383000000,2014-08-15,17:24:08.560000000
8949,40653,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/40653/2,2014-08-15,17:26:32.249000000,2014-08-15,17:29:57.990000000
8953,40669,4,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40669/4,2014-08-15,23:50:51.721000000,2014-08-16,01:22:48.420000000
8956,40673,3,ApproveAfterChange,Bobby Buck,http://review.Piper Jefferson.org/#/c/40673/3,2014-08-16,00:04:10.397000000,2014-08-16,01:35:52.581000000
8960,40707,4,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40707/4,2014-08-18,23:35:21.706000000,2014-08-20,02:29:27.231000000
8962,40737,2,Rejected,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40737/2,2014-08-20,00:46:22.976000000,2014-08-20,01:48:00.310000000
8963,40739,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40739/1,2014-08-20,01:36:20.753000000,2014-08-20,01:37:14.233000000
8964,40740,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40740/1,2014-08-20,01:36:43.329000000,2014-08-20,01:37:19.880000000
8967,40741,3,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40741/3,2014-08-20,01:48:20.670000000,2014-08-20,17:27:48.999000000
8969,40756,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40756/2,2014-08-20,17:54:23.536000000,2014-08-20,19:24:24.893000000
8970,40762,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40762/1,2014-08-20,20:38:40.930000000,2014-08-20,22:46:44.400000000
8974,40765,4,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40765/4,2014-08-20,22:46:28.211000000,2014-08-21,23:31:39.714000000
8977,40825,3,ApproveAfterChange,Shayna Pope,http://review.Piper Jefferson.org/#/c/40825/3,2014-08-22,08:43:13.241000000,2014-08-25,08:47:28.423000000
8981,40849,4,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40849/4,2014-08-22,20:39:51.480000000,2014-08-22,21:57:50.099000000
8987,40865,6,ApproveAfterChange,Bobby Buck,http://review.Piper Jefferson.org/#/c/40865/6,2014-08-23,00:02:56.226000000,2014-08-25,16:52:56.654000000
8993,40884,6,ApproveAfterChange,Emerson Nolan,http://review.Piper Jefferson.org/#/c/40884/6,2014-08-25,19:16:26.874000000,2014-08-25,22:34:55.234000000
9001,40892,8,ApproveAfterChange,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40892/8,2014-08-25,23:09:09.590000000,2014-08-27,00:46:28.793000000
9002,40934,1,Rejected,Ellie Kidd,http://review.Piper Jefferson.org/#/c/40934/1,2014-08-26,19:05:26.362000000,2014-08-26,19:07:58.938000000
9004,40936,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40936/2,2014-08-26,19:49:10.688000000,2014-08-26,21:02:46.684000000
9007,40941,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40941/3,2014-08-26,21:50:47.146000000,2014-08-27,17:16:38.341000000
9010,40942,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40942/3,2014-08-26,21:50:47.146000000,2014-08-27,17:16:52.259000000
9012,40958,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/40958/2,2014-08-27,03:08:15.505000000,2014-08-27,17:21:09.326000000
