,review_number,revision_number,status,author,url,start_date,start_time,close_date,close_time
1685,54851,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/54851/3,2015-08-26,13:32:13.692000000,2015-08-26,13:49:02.280000000
1687,54899,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/54899/2,2015-08-28,10:13:11.072000000,2015-08-28,10:20:37.930000000
1689,54949,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/54949/2,2015-09-01,10:09:09.882000000,2015-09-01,11:05:09.344000000
1691,54950,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/54950/2,2015-09-01,10:11:56.312000000,2015-09-01,11:05:13.457000000
1693,54972,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/54972/2,2015-09-02,08:20:25.814000000,2015-09-02,08:27:03.797000000
1695,54986,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/54986/2,2015-09-02,13:48:24.432000000,2015-09-02,17:49:26.389000000
1698,55024,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/55024/3,2015-09-03,13:48:10.076000000,2015-09-04,11:31:21.154000000
1700,55346,2,DirectlyApprove,Sophia Gaines,http://review.couchbase.org/#/c/55346/2,2015-09-18,14:34:16.402000000,2015-09-18,21:35:10.126000000
1702,55489,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/55489/2,2015-09-24,11:02:17.872000000,2015-09-30,16:51:00.481000000
1704,55726,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/55726/2,2015-10-02,13:05:52.998000000,2015-10-13,11:39:03.911000000
1707,55733,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/55733/3,2015-10-02,17:59:20.449000000,2015-10-02,18:00:23.413000000
1709,55735,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/55735/2,2015-10-02,18:03:36.667000000,2015-10-02,18:04:01.619000000
1725,55845,16,ApproveAfterChange,Sophia Gaines,http://review.couchbase.org/#/c/55845/16,2015-10-06,19:57:47.152000000,2016-01-28,06:23:48.141000000
1727,55901,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/55901/2,2015-10-08,10:32:13.588000000,2015-10-08,16:40:01.005000000
1730,55910,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/55910/3,2015-10-08,13:37:33.772000000,2015-10-09,08:10:16.763000000
1733,55949,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/55949/3,2015-10-09,08:28:17.629000000,2015-10-09,08:59:47.213000000
1737,55989,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/55989/4,2015-10-12,05:39:58.688000000,2015-10-12,15:07:35.533000000
1739,55992,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/55992/2,2015-10-12,06:33:53.708000000,2015-10-12,07:56:33.453000000
1741,55993,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/55993/2,2015-10-12,06:34:57.712000000,2015-10-12,14:25:46.311000000
1743,56038,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/56038/2,2015-10-13,04:58:07.109000000,2015-10-13,04:59:34.498000000
