"repo_name","closed_to_release_date","not_closed_to_release_date"
"couchbase-java-client_final.csv",0.514311674825694,0.519555555555556
"couchbase-jvm-core_final.csv",0.810093896713615,0.535685751446621
"eclipse.platform.ui_final.csv",0.446806251801568,0.372565943187173
"egit_final.csv",0.565495050320865,0.533706474001423
"ep-engine_final.csv",0.389667985177522,0.37156216751207
"jgit_final.csv",0.546417663070559,0.548727168964007
"linuxtools_final.csv",0.55102975413097,0.481830435938696
"ns_server_final.csv",0.490071662361203,0.501547962493067
"spymemcached_final.csv",0.418629585902313,0.484057971014493
"testrunner_final.csv",0.601263257235841,0.544747253189053
