review_number,revision_number,status,author,url,close_date,close_time
50969,13,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/50969/13,2015-05-18,21:49:32.690000000
50970,13,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/50970/13,2015-05-18,21:49:45.614000000
50975,2,DirectlyApprove,Shaniya Barton,http://review.couchbase.org/#/c/50975/2,2015-05-14,09:28:59.039000000
50976,7,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/50976/7,2015-05-18,21:48:49.156000000
50988,2,DirectlyApprove,Ella Beltran,http://review.couchbase.org/#/c/50988/2,2015-05-13,21:49:21.576000000
50998,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/50998/2,2015-05-13,23:00:44.139000000
51001,2,DirectlyApprove,Philip Lara,http://review.couchbase.org/#/c/51001/2,2015-05-17,21:18:31.786000000
51029,5,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51029/5,2015-05-18,21:51:29.613000000
51062,5,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51062/5,2015-05-21,17:03:41.123000000
51085,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51085/3,2015-05-18,21:51:40.447000000
51103,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51103/3,2015-05-18,21:52:11.864000000
51104,5,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51104/5,2015-05-21,05:02:43.479000000
51105,7,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51105/7,2015-05-21,18:14:08.795000000
51112,3,ApproveAfterChange,Shaniya Barton,http://review.couchbase.org/#/c/51112/3,2015-05-18,21:59:44.940000000
51118,2,DirectlyApprove,Ella Beltran,http://review.couchbase.org/#/c/51118/2,2015-05-17,16:49:27.636000000
51125,2,DirectlyApprove,Ella Beltran,http://review.couchbase.org/#/c/51125/2,2015-05-17,16:52:13.439000000
51126,2,DirectlyApprove,Ella Beltran,http://review.couchbase.org/#/c/51126/2,2015-05-17,16:52:23.172000000
51127,3,ApproveAfterChange,Philip Lara,http://review.couchbase.org/#/c/51127/3,2015-05-21,17:03:22.927000000
51167,2,DirectlyApprove,Meghan Vazquez,http://review.couchbase.org/#/c/51167/2,2015-05-18,20:22:06.997000000
