review_number,revision_number,status,author,url,close_date,close_time
42711,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/42711/2,2014-11-03,14:27:35.344000000
42734,1,Rejected,Sophia Gaines,http://review.couchbase.org/#/c/42734/1,2016-02-16,22:50:11.951000000
42738,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/42738/2,2014-11-04,08:09:57.149000000
42739,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/42739/2,2014-11-04,08:34:56.105000000
42765,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/42765/2,2014-11-04,16:02:14.996000000
43038,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/43038/1,2016-02-17,11:34:22.763000000
43130,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43130/2,2014-11-12,11:54:41.700000000
43357,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/43357/2,2014-11-18,09:52:33.546000000
43359,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/43359/3,2014-11-18,13:51:14.277000000
43362,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/43362/2,2014-11-18,13:51:44.504000000
43405,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43405/2,2014-11-19,11:58:20.370000000
43407,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/43407/4,2014-11-19,14:44:39.722000000
43440,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/43440/3,2014-11-21,10:25:31.669000000
43554,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43554/2,2014-11-24,11:56:25.804000000
43556,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/43556/4,2014-12-02,08:25:00.674000000
43557,4,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/43557/4,2014-12-05,12:24:00.278000000
43600,2,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/43600/2,2015-06-23,13:33:36.642000000
43756,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43756/2,2014-12-01,07:43:50.205000000
43765,6,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/43765/6,2014-12-01,10:01:33.770000000
43832,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/43832/2,2014-12-02,13:13:35.700000000
43904,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43904/2,2014-12-03,15:39:41.458000000
43956,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/43956/2,2014-12-04,19:18:55.357000000
44011,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44011/2,2014-12-05,12:14:06.135000000
44015,9,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44015/9,2014-12-18,15:13:38.237000000
44140,1,Rejected,Marlie Beasley,http://review.couchbase.org/#/c/44140/1,2014-12-09,08:47:09.109000000
44141,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44141/2,2014-12-09,09:08:13.055000000
44186,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/44186/2,2014-12-11,15:04:25.280000000
44242,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44242/3,2014-12-11,15:20:39.346000000
44380,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44380/2,2014-12-16,11:45:46.333000000
44381,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44381/3,2014-12-16,12:18:51.140000000
44474,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44474/3,2014-12-18,15:13:56.930000000
44520,6,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/44520/6,2015-01-05,14:44:19.445000000
44522,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44522/3,2015-01-19,14:07:13.247000000
44525,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/44525/2,2014-12-19,18:30:25.266000000
44574,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/44574/2,2014-12-23,08:34:03.127000000
44576,1,Rejected,Lucia Hendrix,http://review.couchbase.org/#/c/44576/1,2014-12-22,11:20:43.288000000
44595,4,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/44595/4,2015-01-08,09:56:19.015000000
44642,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/44642/3,2014-12-31,14:48:05.105000000
44697,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44697/2,2014-12-29,13:39:11.662000000
44699,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/44699/2,2014-12-29,13:39:25.874000000
44700,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/44700/2,2014-12-29,13:39:30.728000000
44701,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44701/2,2014-12-29,13:39:36.829000000
44702,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44702/2,2014-12-29,13:39:41.977000000
44703,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/44703/3,2014-12-29,13:39:46.265000000
44704,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/44704/3,2014-12-29,13:39:50.190000000
44705,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44705/2,2014-12-29,13:39:54.165000000
44706,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44706/2,2014-12-29,13:39:57.428000000
44896,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44896/2,2015-01-05,11:12:54.563000000
44900,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44900/2,2015-01-05,15:30:41.275000000
44902,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44902/2,2015-01-05,15:57:32.239000000
44920,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44920/2,2015-01-05,19:34:37.063000000
44921,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44921/2,2015-01-05,19:34:50.147000000
44922,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/44922/2,2015-01-05,19:35:13.943000000
45000,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45000/3,2015-01-08,11:59:31.574000000
45021,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45021/2,2015-01-07,11:26:52.361000000
45023,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45023/2,2015-01-07,11:40:08.204000000
45024,3,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/45024/3,2015-01-07,12:10:49.101000000
45025,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45025/2,2015-01-07,13:41:46.282000000
45026,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45026/2,2015-01-07,13:41:41.508000000
45078,2,DirectlyApprove,Lucia Hendrix,http://review.couchbase.org/#/c/45078/2,2015-01-09,14:56:42.620000000
45091,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45091/5,2015-01-13,14:01:08.648000000
45142,5,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45142/5,2015-01-13,14:09:46.697000000
45205,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45205/3,2015-01-13,14:44:36.809000000
45214,6,ApproveAfterChange,Marlie Beasley,http://review.couchbase.org/#/c/45214/6,2015-01-19,08:16:31.587000000
45269,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45269/2,2015-01-13,15:21:39.996000000
45276,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45276/3,2015-01-15,10:43:27.957000000
45310,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45310/2,2015-01-14,10:29:37.645000000
45428,2,DirectlyApprove,Marlie Beasley,http://review.couchbase.org/#/c/45428/2,2015-01-16,09:13:23.052000000
45437,3,ApproveAfterChange,Lucia Hendrix,http://review.couchbase.org/#/c/45437/3,2015-01-16,10:54:39.277000000
