review_number,revision_number,status,author,url,close_date,close_time
11570,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11570/1,2011-12-09,01:28:35.541000000
11574,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11574/1,2011-12-09,02:47:46.836000000
11576,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11576/1,2011-12-09,02:48:09.359000000
11578,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11578/2,2011-12-09,03:30:13.270000000
11581,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11581/1,2011-12-09,23:45:55.333000000
11582,1,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11582/1,2011-12-12,07:40:21.847000000
11585,3,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/11585/3,2011-12-13,16:21:09.553000000
11600,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11600/1,2011-12-12,17:18:57.752000000
11601,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/11601/3,2011-12-13,22:48:13.753000000
11605,5,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/11605/5,2011-12-13,22:48:26.088000000
11619,3,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/11619/3,2011-12-13,16:25:04.590000000
11621,2,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11621/2,2011-12-13,20:48:15.554000000
11622,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11622/2,2011-12-13,16:26:07.457000000
11623,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11623/2,2011-12-13,16:27:49.243000000
11628,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11628/2,2011-12-13,16:29:54.202000000
11635,3,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/11635/3,2011-12-14,17:25:01.797000000
11638,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11638/1,2011-12-14,19:16:26.476000000
11646,1,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/11646/1,2011-12-14,06:45:47.209000000
11647,1,Rejected,Asher Vang,http://review.Piper Jefferson.org/#/c/11647/1,2011-12-21,05:38:30.863000000
11650,3,ApproveAfterChange,Abby Duran,http://review.Piper Jefferson.org/#/c/11650/3,2011-12-14,19:16:47.762000000
11651,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11651/2,2011-12-14,17:28:09.556000000
11656,3,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11656/3,2011-12-20,20:12:27.667000000
11657,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11657/1,2011-12-14,20:04:06.886000000
11658,1,DirectlyApprove,Rubi Walsh,http://review.Piper Jefferson.org/#/c/11658/1,2011-12-14,20:27:12.518000000
11660,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11660/1,2011-12-14,22:50:26.565000000
11661,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11661/1,2011-12-15,02:39:58.673000000
11662,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11662/2,2011-12-15,02:40:25.555000000
11663,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11663/1,2011-12-15,02:40:55.801000000
11679,5,ApproveAfterChange,Asher Vang,http://review.Piper Jefferson.org/#/c/11679/5,2011-12-21,06:32:51.327000000
11691,1,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11691/1,2011-12-19,07:11:12.044000000
11705,2,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/11705/2,2011-12-16,23:13:53.561000000
11711,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11711/2,2011-12-17,00:49:30.102000000
11719,2,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/11719/2,2011-12-21,05:17:37.887000000
11737,1,Rejected,Kenny Maynard,http://review.Piper Jefferson.org/#/c/11737/1,2012-01-12,00:48:20.029000000
11741,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11741/2,2011-12-21,05:30:42.199000000
11742,2,DirectlyApprove,Asher Vang,http://review.Piper Jefferson.org/#/c/11742/2,2011-12-21,05:26:05.180000000
11810,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11810/1,2011-12-21,20:31:53.357000000
11811,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11811/2,2011-12-22,00:00:48.426000000
11812,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11812/2,2011-12-22,00:01:02.126000000
11813,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11813/2,2011-12-22,00:01:13.888000000
11824,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11824/1,2011-12-22,02:15:04.914000000
11845,5,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11845/5,2011-12-23,04:31:20.568000000
11847,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11847/1,2011-12-23,05:14:37.405000000
11848,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11848/1,2011-12-23,05:15:09.638000000
11849,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11849/1,2011-12-23,05:15:24.436000000
11850,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11850/1,2011-12-23,05:15:38.567000000
11852,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11852/1,2011-12-24,00:33:42.287000000
11853,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11853/1,2011-12-24,00:34:05.969000000
11871,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11871/1,2011-12-24,00:34:17.639000000
11876,1,Rejected,Kinsley Fox,http://review.Piper Jefferson.org/#/c/11876/1,2011-12-26,06:03:51.770000000
11877,5,ApproveAfterChange,Kinsley Fox,http://review.Piper Jefferson.org/#/c/11877/5,2011-12-26,22:33:26.042000000
11879,1,DirectlyApprove,Stella Goodman,http://review.Piper Jefferson.org/#/c/11879/1,2011-12-27,07:52:22.631000000
11881,5,ApproveAfterChange,Kinsley Fox,http://review.Piper Jefferson.org/#/c/11881/5,2011-12-27,07:02:23.556000000
11883,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11883/2,2011-12-27,02:02:07.639000000
11900,4,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11900/4,2012-01-04,20:53:26.925000000
11901,12,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11901/12,2012-03-16,23:20:28.900000000
11902,12,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11902/12,2012-03-16,23:20:46.145000000
11910,2,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/11910/2,2011-12-27,23:13:15.364000000
11913,1,DirectlyApprove,Noah Dean,http://review.Piper Jefferson.org/#/c/11913/1,2011-12-27,23:25:38.182000000
11919,1,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11919/1,2012-01-04,20:54:37.852000000
11920,3,Rejected,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/11920/3,2012-03-16,23:52:32.090000000
11943,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11943/1,2011-12-30,00:18:13.923000000
11944,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11944/1,2011-12-30,00:18:33.698000000
11945,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11945/1,2011-12-30,00:19:22.339000000
11946,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11946/1,2011-12-30,00:18:58.725000000
11953,2,DirectlyApprove,Kinsley Fox,http://review.Piper Jefferson.org/#/c/11953/2,2011-12-30,00:19:43.439000000
11998,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11998/1,2012-01-04,19:28:44.454000000
11999,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/11999/1,2012-01-04,19:30:11.743000000
12000,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12000/1,2012-01-04,19:30:25.949000000
12001,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12001/1,2012-01-04,19:30:40.601000000
12004,4,ApproveAfterChange,Kinsley Fox,http://review.Piper Jefferson.org/#/c/12004/4,2012-01-04,19:10:45.119000000
12005,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12005/1,2012-01-04,19:30:53.680000000
12006,1,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12006/1,2012-01-04,19:31:10.044000000
12007,9,ApproveAfterChange,Tatiana Sheppard,http://review.Piper Jefferson.org/#/c/12007/9,2012-03-16,23:23:46.725000000
12037,1,DirectlyApprove,Kenny Maynard,http://review.Piper Jefferson.org/#/c/12037/1,2012-01-04,18:07:20.664000000
12040,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12040/2,2012-01-04,23:48:26.620000000
12041,5,ApproveAfterChange,Kinsley Fox,http://review.Piper Jefferson.org/#/c/12041/5,2012-01-04,19:11:16.357000000
12045,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12045/2,2012-01-04,19:31:34.152000000
12046,2,DirectlyApprove,Abby Duran,http://review.Piper Jefferson.org/#/c/12046/2,2012-01-04,19:31:53.323000000
12053,6,ApproveAfterChange,Kenny Maynard,http://review.Piper Jefferson.org/#/c/12053/6,2012-02-16,19:03:43.156000000
